gold_label,Premise,Hypothesis,pred_label,pred_expl,heuristic
neutral,The actors called the professor .,The professor called the actors .,entailment, the professor is the actors .,lexical_overlap
neutral,The scientists avoided the actors .,The actors avoided the scientists .,neutral, scientists are not necessarily actors .,lexical_overlap
neutral,The banker encouraged the artists .,The artists encouraged the banker .,neutral, the artist is not necessarily the .,lexical_overlap
neutral,The artists believed the bankers .,The bankers believed the artists .,contradiction, the artists can not be both the and and the same time .,lexical_overlap
neutral,The professor recommended the manager .,The manager recommended the professor .,entailment, the employee is the professor .,lexical_overlap
neutral,The doctor thanked the secretary .,The secretary thanked the doctor .,entailment, the nun is the doctor .,lexical_overlap
neutral,The banker admired the actors .,The actors admired the banker .,neutral, the actors are not necessarily actors .,lexical_overlap
neutral,The banker thanked the lawyer .,The lawyer thanked the banker .,entailment, the lawyer is the lawyer .,lexical_overlap
neutral,The managers called the athletes .,The athletes called the managers .,entailment, the athletes are the athletes .,lexical_overlap
neutral,The tourists introduced the authors .,The authors introduced the tourists .,neutral, not all the people are .,lexical_overlap
neutral,The secretary mentioned the authors .,The authors mentioned the secretary .,neutral, the nun is not necessarily the nun .,lexical_overlap
neutral,The banker admired the tourist .,The tourist admired the banker .,contradiction, the person is either a or a gentleman .,lexical_overlap
neutral,The lawyers thanked the managers .,The managers thanked the lawyers .,neutral, the postal team is not necessarily the mayor .,lexical_overlap
neutral,The authors recognized the judges .,The judges recognized the authors .,entailment, the judges are the same .,lexical_overlap
neutral,The senators saw the author .,The author saw the senators .,neutral, the author saw the author .,lexical_overlap
neutral,The students stopped the professors .,The professors stopped the students .,entailment, the students are the students .,lexical_overlap
neutral,The athletes thanked the student .,The student thanked the athletes .,entailment, the athletes are the student .,lexical_overlap
neutral,The lawyers recommended the professor .,The professor recommended the lawyers .,entailment, the professor is the doctors .,lexical_overlap
neutral,The student believed the presidents .,The presidents believed the student .,entailment, the student is the student .,lexical_overlap
neutral,The tourist believed the scientists .,The scientists believed the tourist .,contradiction, the tourist can not be both at the same time .,lexical_overlap
neutral,The doctors supported the author .,The author supported the doctors .,contradiction, the author is either following the author or the doctors .,lexical_overlap
neutral,The doctor encouraged the author .,The author encouraged the doctor .,contradiction, the doctor can not be both and doctor .,lexical_overlap
neutral,The managers encouraged the secretaries .,The secretaries encouraged the managers .,neutral, the volunteers are not necessarily .,lexical_overlap
neutral,The lawyers advised the tourist .,The tourist advised the lawyers .,entailment, the tourist is the same as the tourist .,lexical_overlap
neutral,The presidents stopped the student .,The student stopped the presidents .,entailment, the student is the subject of the professor .,lexical_overlap
neutral,The judges avoided the secretary .,The secretary avoided the judges .,contradiction, the judges either are the judges or the nun .,lexical_overlap
neutral,The author recognized the artist .,The artist recognized the author .,entailment, the author is the author .,lexical_overlap
neutral,The artist mentioned the manager .,The manager mentioned the artist .,entailment, the manager is the artist .,lexical_overlap
neutral,The students thanked the managers .,The managers thanked the students .,entailment, the students are the students .,lexical_overlap
neutral,The secretary admired the presidents .,The presidents admired the secretary .,entailment, the nun is the name of the president .,lexical_overlap
neutral,The artist introduced the judges .,The judges introduced the artist .,entailment, the artist is the artist .,lexical_overlap
neutral,The secretaries recommended the judges .,The judges recommended the secretaries .,entailment, the judges are the judges .,lexical_overlap
neutral,The manager avoided the bankers .,The bankers avoided the manager .,entailment, the manager could be the same as the manager .,lexical_overlap
neutral,The secretaries helped the judge .,The judge helped the secretaries .,entailment, the judge and the judge who the the the group .,lexical_overlap
neutral,The author introduced the secretary .,The secretary introduced the author .,entailment, the nun is the name of the author .,lexical_overlap
neutral,The judge contacted the doctors .,The doctors contacted the judge .,entailment, the judge is the judge .,lexical_overlap
neutral,The judge believed the actors .,The actors believed the judge .,contradiction, the actors can not be both actors and actors .,lexical_overlap
neutral,The tourists recognized the senators .,The senators recognized the tourists .,entailment, the second sentence is less descriptive of the first,lexical_overlap
neutral,The students supported the manager .,The manager supported the students .,entailment, the conductor is the conductor .,lexical_overlap
neutral,The lawyers saw the doctor .,The doctor saw the lawyers .,contradiction," the first sentence says the doctors saw the doctors , but the second says the doctors are the doctors .",lexical_overlap
neutral,The secretary thanked the artist .,The artist thanked the secretary .,entailment, the artist is a,lexical_overlap
neutral,The lawyers contacted the secretary .,The secretary contacted the lawyers .,entailment, the doctors are the officers .,lexical_overlap
neutral,The author stopped the doctors .,The doctors stopped the author .,entailment, doctors are the name of the doctor .,lexical_overlap
neutral,The authors stopped the managers .,The managers stopped the authors .,entailment, the employees stopped the name were stopped by the customers .,lexical_overlap
neutral,The lawyers recognized the scientists .,The scientists recognized the lawyers .,neutral, not all are the .,lexical_overlap
neutral,The presidents recognized the banker .,The banker recognized the presidents .,neutral, the first sentence says the president the the president .,lexical_overlap
neutral,The tourists saw the manager .,The manager saw the tourists .,entailment, the manager saw the customers because they are passing the manager .,lexical_overlap
neutral,The student helped the professor .,The professor helped the student .,entailment, the student is helping the professor .,lexical_overlap
neutral,The doctors supported the senator .,The senator supported the doctors .,entailment, the doctors are the leader .,lexical_overlap
neutral,The doctors mentioned the professors .,The professors mentioned the doctors .,neutral, the doctors are not necessarily .,lexical_overlap
neutral,The scientists recognized the lawyers .,The lawyers recognized the scientists .,entailment, the surgeons are the surgeons .,lexical_overlap
neutral,The student saw the tourists .,The tourists saw the student .,neutral, the student did not necessarily see the student .,lexical_overlap
neutral,The lawyer called the actor .,The actor called the lawyer .,neutral, the cop is not necessarily a lawyer .,lexical_overlap
neutral,The athlete advised the professor .,The professor advised the athlete .,entailment, the athlete is the doctor .,lexical_overlap
neutral,The doctor encouraged the students .,The students encouraged the doctor .,neutral, the doctor is not necessarily the doctor .,lexical_overlap
neutral,The actor recognized the senator .,The senator recognized the actor .,entailment, the actor is the actor who is the actor .,lexical_overlap
neutral,The judge encouraged the actor .,The actor encouraged the judge .,entailment, the actor is the judge .,lexical_overlap
neutral,The judge contacted the professor .,The professor contacted the judge .,entailment, the professor is the judge .,lexical_overlap
neutral,The lawyers saw the senators .,The senators saw the lawyers .,contradiction, the first sentence says the cowboys are the main and the second sentence says the cowboys .,lexical_overlap
neutral,The professor avoided the presidents .,The presidents avoided the professor .,entailment, the professor is the professor .,lexical_overlap
neutral,The scientists encouraged the artist .,The artist encouraged the scientists .,entailment, the scientist is the same as the artist .,lexical_overlap
neutral,The doctors recommended the artists .,The artists recommended the doctors .,entailment, the doctors are the same as the doctors .,lexical_overlap
neutral,The artists believed the lawyer .,The lawyer believed the artists .,entailment, the artist being the same as the other one of the artist .,lexical_overlap
neutral,The judges stopped the professors .,The professors stopped the judges .,neutral, the judges are not necessarily the .,lexical_overlap
neutral,The senator mentioned the managers .,The managers mentioned the senator .,entailment, the manager is the name of the .,lexical_overlap
neutral,The secretaries mentioned the judges .,The judges mentioned the secretaries .,neutral, the judges are not necessarily the judges .,lexical_overlap
neutral,The tourists introduced the managers .,The managers introduced the tourists .,entailment, the citizens are the tourists .,lexical_overlap
neutral,The tourists recommended the senator .,The senator recommended the tourists .,entailment, tourists are the same as the .,lexical_overlap
neutral,The managers recognized the scientists .,The scientists recognized the managers .,contradiction, the scientists can not be both the ones and the scientists .,lexical_overlap
neutral,The artist recommended the lawyer .,The lawyer recommended the artist .,entailment, the artist is a the same as the workman .,lexical_overlap
neutral,The managers helped the student .,The student helped the managers .,entailment, the student helped the staff .,lexical_overlap
neutral,The senators admired the authors .,The authors admired the senators .,neutral, the first sentence does not say they are the .,lexical_overlap
neutral,The author recommended the doctor .,The doctor recommended the author .,contradiction, the doctor can not be both doctor and doctor at the same time .,lexical_overlap
neutral,The managers introduced the senator .,The senator introduced the managers .,neutral, the manager is not necessarily the .,lexical_overlap
neutral,The bankers stopped the scientists .,The scientists stopped the bankers .,contradiction, the scientists can not be both the ones and the scientists .,lexical_overlap
neutral,The doctor admired the professor .,The professor admired the doctor .,neutral, the professor is not necessarily a doctor .,lexical_overlap
neutral,The actor believed the senators .,The senators believed the actor .,contradiction, the actor can not be the actor if he is being .,lexical_overlap
neutral,The bankers admired the scientist .,The scientist admired the bankers .,neutral, the scientist is not necessarily the .,lexical_overlap
neutral,The students advised the judge .,The judge advised the students .,entailment, the judges are the students .,lexical_overlap
neutral,The actors recognized the professors .,The professors recognized the actors .,entailment, actors are the actors .,lexical_overlap
neutral,The doctor stopped the judges .,The judges stopped the doctor .,entailment, the judges are the judges .,lexical_overlap
neutral,The senators avoided the scientist .,The scientist avoided the senators .,entailment, the second sentence is a less descriptive version of the first .,lexical_overlap
neutral,The author admired the actors .,The actors admired the author .,entailment, the actors are the same as the author .,lexical_overlap
neutral,The artist helped the judge .,The judge helped the artist .,entailment, the artist helped the artist is the same as the artist helped the artist .,lexical_overlap
neutral,The senator advised the author .,The author advised the senator .,entailment, the author is the name of the author .,lexical_overlap
neutral,The lawyers helped the bankers .,The bankers helped the lawyers .,contradiction, the are either helped the .,lexical_overlap
neutral,The senator encouraged the student .,The student encouraged the senator .,entailment, the student is the teacher .,lexical_overlap
neutral,The doctor contacted the banker .,The banker contacted the doctor .,entailment, the doctor is the doctor .,lexical_overlap
neutral,The actors introduced the doctor .,The doctor introduced the actors .,neutral, the actors are not necessarily the doctor .,lexical_overlap
neutral,The judge stopped the managers .,The managers stopped the judge .,entailment, the manager is the name of the manager .,lexical_overlap
neutral,The tourists saw the presidents .,The presidents saw the tourists .,entailment, tourists are the tourists .,lexical_overlap
neutral,The student supported the lawyer .,The lawyer supported the student .,entailment, the student is the student .,lexical_overlap
neutral,The secretary saw the student .,The student saw the secretary .,neutral, the student did not necessarily the the lady .,lexical_overlap
neutral,The actor recommended the artist .,The artist recommended the actor .,neutral, the actor is not necessarily a actor .,lexical_overlap
neutral,The athletes recognized the managers .,The managers recognized the athletes .,entailment, athletes are the same as the team .,lexical_overlap
neutral,The athletes mentioned the actors .,The actors mentioned the athletes .,entailment, the actors are the actors .,lexical_overlap
neutral,The judges mentioned the president .,The president mentioned the judges .,entailment, the president that the president is the same as the president .,lexical_overlap
neutral,The scientist recommended the authors .,The authors recommended the scientist .,contradiction, the scientist can not be both a scientist and a scientist .,lexical_overlap
neutral,The students introduced the doctors .,The doctors introduced the students .,entailment, doctors are students .,lexical_overlap
neutral,The president recognized the athlete .,The athlete recognized the president .,entailment, the person is the president of the second sentence .,lexical_overlap
neutral,The tourist believed the doctor .,The doctor believed the tourist .,contradiction, the doctor can not be both at the same time and the same time .,lexical_overlap
neutral,The athletes contacted the lawyers .,The lawyers contacted the athletes .,entailment, athletes are the same as athletes .,lexical_overlap
neutral,The lawyers recognized the secretary .,The secretary recognized the lawyers .,entailment, the president is the same as the .,lexical_overlap
neutral,The doctor contacted the tourists .,The tourists contacted the doctor .,entailment, the doctor is the doctor .,lexical_overlap
neutral,The author supported the judge .,The judge supported the author .,entailment, the author is the name of the author .,lexical_overlap
neutral,The doctor believed the presidents .,The presidents believed the doctor .,contradiction, the doctor can not be the doctor and the doctor at the same time .,lexical_overlap
neutral,The actor supported the doctors .,The doctors supported the actor .,entailment, the actor is the leader .,lexical_overlap
neutral,The scientists avoided the lawyers .,The lawyers avoided the scientists .,contradiction, the surgeons can not be both and the doctors at the same time .,lexical_overlap
neutral,The tourists believed the authors .,The authors believed the tourists .,neutral, tourists are not always tourists .,lexical_overlap
neutral,The judges supported the artists .,The artists supported the judges .,entailment, the artists are the judges .,lexical_overlap
neutral,The athlete recognized the scientist .,The scientist recognized the athlete .,entailment, the athlete is the scientist .,lexical_overlap
neutral,The president recognized the banker .,The banker recognized the president .,entailment, the president the the is the same as the president .,lexical_overlap
neutral,The professor saw the presidents .,The presidents saw the professor .,entailment, the statue is the professor .,lexical_overlap
neutral,The senator helped the doctor .,The doctor helped the senator .,entailment, the second sentence is a less descriptive version of the first .,lexical_overlap
neutral,The president recommended the students .,The students recommended the president .,neutral, the students are not necessarily doctors .,lexical_overlap
neutral,The artist mentioned the president .,The president mentioned the artist .,entailment, the artist is the artist .,lexical_overlap
neutral,The secretaries called the senator .,The senator called the secretaries .,entailment, the name is the name of the .,lexical_overlap
neutral,The authors thanked the scientists .,The scientists thanked the authors .,neutral, scientists are not the only thing that can be used to describe a .,lexical_overlap
neutral,The senators encouraged the artists .,The artists encouraged the senators .,contradiction, the artists are either giving the same action or they were the same .,lexical_overlap
neutral,The lawyers encouraged the actors .,The actors encouraged the lawyers .,neutral, the actors are not necessarily the ones .,lexical_overlap
neutral,The bankers admired the manager .,The manager admired the bankers .,entailment, the manager is a group of people .,lexical_overlap
neutral,The managers advised the secretaries .,The secretaries advised the managers .,neutral, the employees are not necessarily the same .,lexical_overlap
neutral,The artists helped the doctors .,The doctors helped the artists .,entailment, the new helped are the .,lexical_overlap
neutral,The professor supported the students .,The students supported the professor .,entailment, the professor is the professor .,lexical_overlap
neutral,The artist supported the senators .,The senators supported the artist .,entailment, the artist is the artist .,lexical_overlap
neutral,The actor mentioned the scientists .,The scientists mentioned the actor .,entailment, the cameraman is a actor .,lexical_overlap
neutral,The authors supported the actor .,The actor supported the authors .,entailment, the actor is the name of the fellow .,lexical_overlap
neutral,The secretaries advised the bankers .,The bankers advised the secretaries .,contradiction, the postal is the opposite of the .,lexical_overlap
neutral,The professors helped the managers .,The managers helped the professors .,entailment, the postal team is the .,lexical_overlap
neutral,The secretary recommended the athletes .,The athletes recommended the secretary .,entailment, the uniformed ladies are the nuns .,lexical_overlap
neutral,The managers mentioned the senator .,The senator mentioned the managers .,entailment, the manager is the name of the .,lexical_overlap
neutral,The bankers advised the artists .,The artists advised the bankers .,entailment, the artists are the group of people .,lexical_overlap
neutral,The professor thanked the tourist .,The tourist thanked the professor .,entailment, the professor is a tourist .,lexical_overlap
neutral,The artist introduced the actors .,The actors introduced the artist .,entailment, the artist is the same as the actors .,lexical_overlap
neutral,The secretary thanked the manager .,The manager thanked the secretary .,entailment, the manager is the president .,lexical_overlap
neutral,The judges believed the president .,The president believed the judges .,entailment, the president that the president is the same as the judges .,lexical_overlap
neutral,The tourist recommended the banker .,The banker recommended the tourist .,entailment, the traveler is the the shoeshine .,lexical_overlap
neutral,The scientists saw the managers .,The managers saw the scientists .,entailment, the scientists saw the .,lexical_overlap
neutral,The artist encouraged the secretary .,The secretary encouraged the artist .,entailment, the artist is a artist .,lexical_overlap
neutral,The banker admired the scientist .,The scientist admired the banker .,neutral, the scientist is not necessarily a .,lexical_overlap
neutral,The students supported the judge .,The judge supported the students .,entailment, the word `` supports the '' is a rephrasing of `` the conductor `` .,lexical_overlap
neutral,The author supported the actors .,The actors supported the author .,entailment, the word `` '' implies the leader .,lexical_overlap
neutral,The athletes recognized the doctors .,The doctors recognized the athletes .,entailment, athletes are the same as athletes .,lexical_overlap
neutral,The secretaries contacted the author .,The author contacted the secretaries .,entailment, the author is the same as the author .,lexical_overlap
neutral,The lawyers thanked the bankers .,The bankers thanked the lawyers .,contradiction, the are either businessmen or .,lexical_overlap
neutral,The bankers recognized the artist .,The artist recognized the bankers .,entailment, the artist is the same as the .,lexical_overlap
neutral,The lawyers mentioned the scientist .,The scientist mentioned the lawyers .,neutral, the surgeon is not necessarily the .,lexical_overlap
neutral,The lawyer helped the professors .,The professors helped the lawyer .,entailment, the jockey is the lawyer .,lexical_overlap
neutral,The tourists stopped the lawyers .,The lawyers stopped the tourists .,contradiction, the drivers are either stopped the or the customers are stopped .,lexical_overlap
neutral,The judge recognized the artist .,The artist recognized the judge .,entailment, the artist is the same as the performer .,lexical_overlap
neutral,The lawyer recommended the scientist .,The scientist recommended the lawyer .,entailment, the surgeon is a surgeon .,lexical_overlap
neutral,The bankers stopped the students .,The students stopped the bankers .,contradiction, the students are either in the process or the .,lexical_overlap
neutral,The actor avoided the lawyer .,The lawyer avoided the actor .,entailment, the actor is the cop because he is a man .,lexical_overlap
neutral,The athlete avoided the judge .,The judge avoided the athlete .,entailment, the athlete is the same as the word .,lexical_overlap
neutral,The tourist supported the judges .,The judges supported the tourist .,entailment, the judges are the same as the tourist .,lexical_overlap
neutral,The professor saw the banker .,The banker saw the professor .,entailment, the baker was the professor .,lexical_overlap
neutral,The lawyer recognized the senators .,The senators recognized the lawyer .,entailment, the jockey is the jockey .,lexical_overlap
neutral,The athletes helped the doctors .,The doctors helped the athletes .,entailment, the athletes helped the doctors because they helped the doctors .,lexical_overlap
neutral,The students mentioned the athlete .,The athlete mentioned the students .,entailment, students are the students .,lexical_overlap
neutral,The secretaries recognized the lawyer .,The lawyer recognized the secretaries .,entailment, the jockey is the same as the .,lexical_overlap
neutral,The artists supported the judges .,The judges supported the artists .,entailment, the singers are the same as the artists .,lexical_overlap
neutral,The tourists avoided the author .,The author avoided the tourists .,contradiction, the author can not be avoiding the author if he is avoiding the tourists .,lexical_overlap
neutral,The judge stopped the tourist .,The tourist stopped the judge .,entailment, the tourist stopped is the same as the tourist stopped .,lexical_overlap
neutral,The authors advised the doctors .,The doctors advised the authors .,entailment, doctors are the doctors .,lexical_overlap
neutral,The author helped the senators .,The senators helped the author .,entailment, the second sentence is less descriptive of the author,lexical_overlap
neutral,The professor supported the athlete .,The athlete supported the professor .,entailment, the professor is the conductor .,lexical_overlap
neutral,The artist called the manager .,The manager called the artist .,entailment, the manager is the artist .,lexical_overlap
neutral,The bankers introduced the student .,The student introduced the bankers .,entailment, the student is the student .,lexical_overlap
neutral,The actors stopped the doctors .,The doctors stopped the actors .,contradiction, the actors are either doctors or doctors .,lexical_overlap
neutral,The senators stopped the president .,The president stopped the senators .,entailment, the president stopped the president is the same as the president stopped the president .,lexical_overlap
neutral,The lawyers admired the senator .,The senator admired the lawyers .,neutral, the jockey is not necessarily being interviewed .,lexical_overlap
neutral,The professors recommended the manager .,The manager recommended the professors .,entailment, the manager is the same as the .,lexical_overlap
neutral,The banker admired the senator .,The senator admired the banker .,entailment, the name is the name of the name .,lexical_overlap
neutral,The senators avoided the doctors .,The doctors avoided the senators .,contradiction, the doctors can not be the doctors and the same time .,lexical_overlap
neutral,The secretary saw the authors .,The authors saw the secretary .,entailment, the pope saw the nun .,lexical_overlap
neutral,The professors saw the lawyer .,The lawyer saw the professors .,entailment, the person who is the professor was the apprentice .,lexical_overlap
neutral,The professor advised the banker .,The banker advised the professor .,entailment, the professor is a professor .,lexical_overlap
neutral,The lawyers called the scientists .,The scientists called the lawyers .,neutral, the fact that the doctors are being interviewed does not imply that they are the .,lexical_overlap
neutral,The senators stopped the secretary .,The secretary stopped the senators .,contradiction, the nun is either following or not .,lexical_overlap
neutral,The banker helped the students .,The students helped the banker .,entailment, the senior helped the senior is a rephrasing of the senior helped the senior .,lexical_overlap
neutral,The scientists recommended the presidents .,The presidents recommended the scientists .,entailment, the surgeons are the same as the surgeons .,lexical_overlap
neutral,The doctor saw the author .,The author saw the doctor .,entailment, the doctor saw the doctor is the same as the author saw the doctor .,lexical_overlap
neutral,The scientist helped the artist .,The artist helped the scientist .,neutral," the artist could be helping the artist , not necessarily a scientist .",lexical_overlap
neutral,The athletes contacted the secretaries .,The secretaries contacted the athletes .,entailment, athletes are the same as the .,lexical_overlap
neutral,The banker supported the athlete .,The athlete supported the banker .,entailment, the person is a policewoman .,lexical_overlap
neutral,The senators called the athlete .,The athlete called the senators .,entailment, the athlete is a single person .,lexical_overlap
neutral,The doctor admired the actor .,The actor admired the doctor .,contradiction, the person is either a doctor or a .,lexical_overlap
neutral,The senator advised the secretaries .,The secretaries advised the senator .,neutral, the nuns are not necessarily the .,lexical_overlap
neutral,The senator mentioned the students .,The students mentioned the senator .,entailment, students are the same as the .,lexical_overlap
neutral,The doctor saw the presidents .,The presidents saw the doctor .,neutral, the first sentence does not imply that the professor saw the doctor .,lexical_overlap
neutral,The lawyer mentioned the actor .,The actor mentioned the lawyer .,neutral, the cop may not be the lawyer .,lexical_overlap
neutral,The actors contacted the senators .,The senators contacted the actors .,entailment, the actors are the same as the actors .,lexical_overlap
neutral,The tourists contacted the authors .,The authors contacted the tourists .,neutral, the tourist is not necessarily tourists .,lexical_overlap
neutral,The tourist saw the artist .,The artist saw the tourist .,entailment, the artist saw the tourist is the same as the artist saw the tourist .,lexical_overlap
neutral,The athletes stopped the authors .,The authors stopped the athletes .,entailment, the bicyclists stopped the bicyclists are the same thing .,lexical_overlap
neutral,The judges thanked the secretaries .,The secretaries thanked the judges .,contradiction, the judges are not the same as the judges .,lexical_overlap
neutral,The authors stopped the doctors .,The doctors stopped the authors .,contradiction, the doctors stopped the doctors are not the same as the doctors stopped the doctors .,lexical_overlap
neutral,The professors encouraged the student .,The student encouraged the professors .,entailment, the student is the lecture .,lexical_overlap
neutral,The athletes thanked the artists .,The artists thanked the athletes .,neutral, the athletes are not necessarily artists .,lexical_overlap
neutral,The scientists encouraged the doctor .,The doctor encouraged the scientists .,neutral, the patient is not necessarily the doctor .,lexical_overlap
neutral,The bankers admired the professor .,The professor admired the bankers .,neutral, the professor is not necessarily the professor .,lexical_overlap
neutral,The actor helped the bankers .,The bankers helped the actor .,entailment, the actor is giving a picture of the cop .,lexical_overlap
neutral,The lawyers encouraged the secretaries .,The secretaries encouraged the lawyers .,contradiction, the nuns can not be both and the same group .,lexical_overlap
neutral,The professors called the manager .,The manager called the professors .,entailment, manager is the same as .,lexical_overlap
neutral,The presidents supported the professor .,The professor supported the presidents .,entailment, the professor is the president .,lexical_overlap
neutral,The secretaries advised the tourists .,The tourists advised the secretaries .,entailment, the shoppers are the same as the .,lexical_overlap
neutral,The authors recognized the doctor .,The doctor recognized the authors .,entailment, the doctor is the doctor .,lexical_overlap
